,python_function,cfe_docker,conda,dynverse_docker
paga,cf_paga,huangzhaoyang/cf_paga:0.0.1,cfe,
comp1,cf_comp1,huangzhaoyang/cf_comp1:0.0.1,cfe,
angle,cf_angle,huangzhaoyang/cf_angle:0.0.1,cfe,
cluster_mst,cf_cluster_mst,huangzhaoyang/cf_cluster_mst:0.0.1,cfe,
state_comp,cf_state_comp,huangzhaoyang/cf_state_comp:0.0.1,cfe,
projection_mst,cf_projection_mst,,cfe,dynverse/ti_mst:v0.9.9.01
graph_mst,cf_graph_mst,,cfe,
scvelo,cf_scvelo,,cfe,
velovi,cf_velovi,,scvi-env,
cytotrace2,cf_cytotrace2,,cytotrace2,
palantir,cf_palantir,,cfe,
sctc,cf_sctc,,cfe,
cellrank,cf_cellrank,,,
ti_paga,,,,dynverse/ti_paga:v0.9.9.05
ti_slingshot,,,,dynverse/ti_slingshot:v1.0.3
ti_comp1,,,,dynverse/ti_comp1:v0.9.9.01
ti_angle,,,,dynverse/ti_angle:v0.9.9.02
ti_projection_mst,,,,dynverse/ti_mst:v0.9.9.01
ti_monocle_ica,,,,dynverse/ti_monocle_ica:v0.9.9.01
ti_monocle_ddrtree,,,,dynverse/ti_monocle_ddrtree:v0.9.9.02
ti_scorpius,,,,dynverse/ti_scorpius:v2.0.0
ti_embeddr,,,,dynverse/ti_embeddr:v0.9.9.01
ti_matcher,,,,dynverse/ti_matcher:v0.9.9.01
ti_tscan,,,,dynverse/ti_tscan:v0.9.9.01
ti_wanderlust,,,,dynverse/ti_wanderlust:v0.9.9.01
ti_phenopath,,,,dynverse/ti_phenopath:v0.9.9.01
ti_topslam,,,,dynverse/ti_topslam:v0.9.9.01
ti_waterfall,,,,dynverse/ti_waterfall:v0.9.9.01
ti_elpilinear,,,,dynverse/ti_elpilinear:v0.9.9.01
ti_forks,,,,dynverse/ti_forks:v0.9.9.01
